car_name,fuel_type,seating_capacity,transmission_type,body_type,rating,starting_price,ending_price
Mercedes-Benz A-Class Limousine,Diesel,5,Automatic,Sedan,4.5,13700000,25400000
Maserati GranCabrio,Diesel,4,Automatic,Convertible,4,15900000,15900000
Mercedes-Benz AMG GLE 53,Petrol,5,Automatic,Coupe,4.5,30000000,35000000
Aston Martin Vantage,Petrol,2,Manual,Convertible,3.5,9950000,9950000
Mercedes-Benz EQC,Electric,5,Automatic,SUV,4.5,8247000,8247000
Mercedes-Benz AMG C 43,Petrol,5,Automatic,Coupe,4.5,11100000,11100000
Lexus RX,Petrol,5,Automatic,SUV,5,726000,726000
Hyundai Xcent Prime,CNG,5,Manual,Sedan,4.5,12000000,12400000
Jaguar I-Pace,Electric,5,Electric,SUV,4.5,70600000,76400000
Rolls Royce Dawn,Petrol,4,Automatic,Convertible,4,20800000,20800000
BMW X5 M,Petrol,5,Automatic,SUV,5,32100000,49900000
Lamborghini Huracan EVO,Petrol,2,Automatic,Coupe,4.5,4000000,4000000
Mini Cooper 3 DOOR,Petrol,4,Automatic,Hatchback,4.5,8470000,8470000
Mercedes-Benz CLS,Diesel,5,Automatic,Coupe,4.5,885000,912000
Mahindra Bolero PikUp ExtraLong,Diesel,2,Manual,Pickup Truck,4.5,23300000,23300000
Lexus LX,Petrol,8,Automatic,SUV,5,8700000,8700000
Mercedes-Benz AMG GLC 43,Petrol,5,Automatic,SUV,4.5,927000,976000
Mahindra Bolero Camper,Diesel,5,Manual,Pickup Truck,4.5,2999000,3549000
Tata Nexon EV Max,Electric,5,Electric,SUV,5,463000,583000
Mahindra Bolero Neo,Diesel,7,Manual,SUV,4.5,903000,1173000
Mahindra Bolero Neo,Diesel,7,Manual,SUV,4.5,13500000,25700000
Audi e-tron GT,Electric,5,Electric,Coupe,4.5,5800000,5800000
Maruti Swift Dzire Tour,CNG,5,Manual,Sedan,4.5,13500000,25700000
Mercedes-Benz AMG A 35,Petrol,5,Automatic,Sedan,4.5,1989000,1989000
Mercedes-Benz GLC Coupe,Diesel,5,Automatic,Coupe,5,3132000,3132000
Toyota Glanza,Petrol,5,Automatic,Hatchback,4.5,2990000,3695000
Toyota Glanza,Petrol,5,Automatic,Hatchback,4.5,5590000,5590000
Porsche Cayenne Coupe,Petrol,4,Automatic,SUV,3.5,18900000,18900000
Porsche Cayenne Coupe,Petrol,4,Automatic,SUV,3.5,391000,397000
Honda City Hybrid,Petrol,5,Automatic,Sedan,4.5,8150000,8150000
Compass Trailhawk,Diesel,5,Automatic,SUV,4.5,5450000,5690000
Jeep Meridian,Diesel,7,Automatic,SUV,4.5,1615000,2075000
Mercedes-Benz AMG A 45 S,Petrol,5,Automatic,Hatchback,4.5,659000,999000
BMW 3 Series Gran Limousine,Petrol,5,Automatic,Sedan,4.5,1041000,1041000
MG Hector Plus,Diesel,7,Manual,SUV,4.5,1615000,2075000
Audi RS Q8,Petrol,5,Automatic,SUV,3.5,21700000,21700000
Maruti Alto 800 tour,Petrol,5,Manual,Hatchback,4.5,391000,397000
